;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
97;58;58;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;59;288;1469;[256,1434,336,1528];2846.25;0.618731;4827.12;62;VinoLapa175Bini175;False;dead
98;59;59;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;60;549;1632;[506,1595,590,1672];2981.35;0.685161;4610.99;63;VinoLapa175Bini175;False;dead
99;60;60;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;61;1960;1630;[1921,1595,2026,1664];2341.21;0.443602;5334.95;64;VinoLapa175Bini175;False;dead
100;61;61;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;62;1759;1616;[1732,1591,1838,1686];2473.34;0.405517;5396.7;65;VinoLapa175Bini175;False;dead
101;62;62;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;63;1253;1658;[1227,1632,1283,1688];2508.9;0.507878;2106.94;66;VinoLapa175Bini175;False;dead
102;63;63;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;64;577;1701;[540,1678,610,1776];2565.98;0.501081;4004.14;67;VinoLapa175Bini175;False;dead
103;64;64;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;65;157;1717;[119,1688,187,1763];2211.47;0.50071;3104.52;69;VinoLapa175Bini175;False;dead
104;65;65;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;66;1895;1736;[1859,1687,1940,1778];2894.53;0.681596;4883.54;70;VinoLapa175Bini175;False;dead
105;66;66;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;67;1304;1759;[1270,1724,1346,1802];2631.67;0.564335;4325.67;71;VinoLapa175Bini175;False;dead
106;67;67;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;68;248;1792;[220,1758,281,1822];2269.03;0.534621;2864.97;72;VinoLapa175Bini175;False;dead
107;68;68;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;69;1619;1805;[1589,1783,1645,1830];2108.47;0.491218;1775.83;73;VinoLapa175Bini175;False;dead
